,name,existence,Gas,Electricity,water
1713,Camrosa Water District,0.8,,,Camrosa Water District
1714,Cam-Wal Electric Cooperative,0.8,,Cam-Wal Electric Cooperative,
1715,Canaan Valley Gas Company,0.8,Canaan Valley Gas Company,,
1716,Canadian Valley Electric Co-Op,0.8,,Canadian Valley Electric Co-Op,
1717,Canebrake Utilities,0.8,,,
1718,Ca-Par Electric,0.8,,Ca-Par Electric,
1719,Carney's Point Township Sewer,0.8,,,Carney's Point Township Sewer
1720,Carolina Beach Water & Sewer,0.8,,,Carolina Beach Water & Sewer
1721,"Carolina Energy, Water and Air",0.8,,,"Carolina Energy, Water and Air"
1722,Carpentersville Water Department,0.8,,,Carpentersville Water Department
1723,Carroll County Water Authority,0.8,,,Carroll County Water Authority
1724,Cass City Oil & Gas Co.,0.8,Cass City Oil & Gas Co.,,
1725,Cassatt Water Co.,0.8,,,Cassatt Water Co.
1726,Castalian Springs-Bethpage Water Utility,0.8,,,Castalian Springs-Bethpage Water Utility
1727,Cedar River Water and Sewer District,0.8,,,Cedar River Water and Sewer District
1728,Cedarpines Park Mutual Water Co.,0.8,,,Cedarpines Park Mutual Water Co.
1729,Center Point Energy,0.8,,,
1730,Central Electric Power,0.8,,Central Electric Power,
1731,Central Elmore Water & Sewer,0.8,,,Central Elmore Water & Sewer
1732,Central Indiana Power,0.8,,,
1733,Central Iowa Power Cooperative,0.8,,,
1734,Central Iowa Water Association,0.8,,,Central Iowa Water Association
1735,Central Lincoln People's Utility District,0.8,,,
1736,Central Mo Elect Co-Op,0.8,,Central Mo Elect Co-Op,
1737,Central Power Electric Cooperative,0.8,,Central Power Electric Cooperative,
1738,Central Power Systems,0.8,,,
1739,Central Water Works,0.8,,,Central Water Works
1740,Central Yazoo Water Association,0.8,,,Central Yazoo Water Association
1741,Champlain Water District,0.8,,,Champlain Water District
1742,Charlotte Harbor Water Association,0.8,,,Charlotte Harbor Water Association
1743,Charter Township of Brownstown,0.8,,,
1744,Chelmsford Water District,0.8,,,Chelmsford Water District
1745,Cherokee County Water Auth,0.8,,,Cherokee County Water Auth
1746,Christian Water District,0.8,,,Christian Water District
1747,Cincinnati Water Works,0.8,,,Cincinnati Water Works
1748,Citizens Gas Utility District,0.8,Citizens Gas Utility District,,
1749,City Electric Supply Plano,0.8,,City Electric Supply Plano,
1750,City Electric Supply Waterford,0.8,,City Electric Supply Waterford,City Electric Supply Waterford
1751,City Light Gas & Water Office,0.8,City Light Gas & Water Office,,City Light Gas & Water Office
1752,City Of Griffin Power Oprtns,0.8,,,
1753,City of Tallahassee Utilities,0.8,,,
1754,Clay Rural Water System,0.8,,,Clay Rural Water System
1755,Clearfield Municipal Water Authority,0.8,,,Clearfield Municipal Water Authority
1756,Clearlake Oaks County Water Dist,0.8,,,Clearlake Oaks County Water Dist
1757,Cleco,0.8,,,
1758,Clifton Water District,0.8,,,Clifton Water District
1759,Cms Electric Cooperative,0.8,,Cms Electric Cooperative,
1760,CNG,0.8,,,
1761,Coahoma Electric Power Association,0.8,,Coahoma Electric Power Association,
1762,Codington Clark Electric Co-Op,0.8,,Codington Clark Electric Co-Op,
1763,Cogentrix Energy,0.8,,,
1764,Cokinos Energy Corporation,0.8,,,
1765,Coleman County Electric Co-Op,0.8,,Coleman County Electric Co-Op,
1766,Colorado Centre Metropolitan District,0.8,,,
1767,Columbia Gas of Ohio,0.8,Columbia Gas of Ohio,,
1768,Columbia Irrigation District,0.8,,,Columbia Irrigation District
1769,Columbia Rural Electric Association,0.8,,Columbia Rural Electric Association,
1770,Columbia Water & Light Department,0.8,,,Columbia Water & Light Department
1771,Columbia Water Co.,0.8,,,Columbia Water Co.
1772,Competitive Power Ventures,0.8,,,
1773,Conectiv,0.8,,,
1774,Consolidated Public Water Supl,0.8,,,Consolidated Public Water Supl
1775,Consolidated Waterworks,0.8,,,Consolidated Waterworks
1776,Consumers Energy Co.,0.8,,,
1777,Consumers Power,0.8,,,
1778,Cooper Gas Co.,0.8,Cooper Gas Co.,,
1779,Cooper Propane,0.8,,,
1780,Cooperative Light & Power,0.8,,,
1781,Cordry-Sweetwater Conservancy District,0.8,,,Cordry-Sweetwater Conservancy District
1782,Corinth Gas & Water Department,0.8,Corinth Gas & Water Department,,Corinth Gas & Water Department
1783,Covanta Energy Corporation,0.8,,,
1784,Covanta Holding Corporation,0.8,,,
1785,Covington Electric System,0.8,,Covington Electric System,
1786,Covington Water District,0.8,,,Covington Water District
1787,Crane Water Department,0.8,,,Crane Water Department
1788,Crescenta Valley County Water Dist,0.8,,,Crescenta Valley County Water Dist
1789,Crescenta Valley Water Dist,0.8,,,Crescenta Valley Water Dist
1790,Crestline-Lake Arrowhead Water Agency,0.8,,,Crestline-Lake Arrowhead Water Agency
1791,Crossroads Utility Services,0.8,,,
1792,Crosstex Energy,0.8,,,
1793,Crowd Energy,0.8,,,
1794,Crystal Springs Water Co.,0.8,,,Crystal Springs Water Co.
1795,Csa For Milan Department Of Public Utilities,0.8,,,
1796,Cuivre River Electric Co-Op,0.8,,Cuivre River Electric Co-Op,
1797,Cuivre River Electric Cooperative,0.8,,Cuivre River Electric Cooperative,
1798,Culkin Water District,0.8,,,Culkin Water District
1799,"Culligan Water Conditioning of Las Vegas, NV",0.8,"Culligan Water Conditioning of Las Vegas, NV",,"Culligan Water Conditioning of Las Vegas, NV"
1800,"Culligan Water Conditioning of Tallahassee, FL",0.8,,,"Culligan Water Conditioning of Tallahassee, FL"
1801,Cumberland Electric Membership,0.8,,Cumberland Electric Membership,
1802,Cumberland Utility District,0.8,,,
1803,Cuming County Public Power,0.8,,,
1804,Curry Water Authority,0.8,,,Curry Water Authority
1805,Custer Public Power District,0.8,,,
1806,Custom Electronic Co.,0.8,,Custom Electronic Co.,
1807,D C Power Products,0.8,,,
1808,D&L Energy,0.8,,,
1809,Dahlberg Light & Power Co.,0.8,,,
1810,Dallas Water Utilities Department,0.8,,,Dallas Water Utilities Department
1811,Dallastown Water Department,0.8,,,Dallastown Water Department
1812,Daphne Utilities-Automated Payment Line,0.8,,,
1813,Darrah Electric Co.,0.8,,Darrah Electric Co.,
1814,Daughtry Electric Company,0.8,,Daughtry Electric Company,
1815,Dawson Public Power District,0.8,,,
1816,Dayton Water Department,0.8,,,Dayton Water Department
1817,Deep East Texas Electric Co-Op,0.8,,Deep East Texas Electric Co-Op,
1818,Deep East Texas Electric CO-OP,0.8,,Deep East Texas Electric CO-OP,
1819,Delano-Earlimart Irrigation,0.8,,,Delano-Earlimart Irrigation
1820,Delaware County Electric Co-Op,0.8,,Delaware County Electric Co-Op,
1821,Dell Power Plant,0.8,,,
1822,Delmarva Power & Light Company,0.8,,,
1823,Delta Natural Gas Co.,0.8,Delta Natural Gas Co.,,
1824,Denver Joint Electrical,0.8,,Denver Joint Electrical,
1825,Department of Water and Power,0.8,,,Department of Water and Power
1826,Department Water Management,0.8,,,Department Water Management
1827,Dependable Gas Co.,0.8,Dependable Gas Co.,,
1828,Derry Municipal Water Authority,0.8,,,Derry Municipal Water Authority
1829,Detroit Power & Light,0.8,,,
1830,Diamondhead Water & Sewer District,0.8,,,Diamondhead Water & Sewer District
1831,Discount Power,0.8,,,
1832,District of Columbia Water and Sewer Authority-Dcw Dcwasa Administration,0.8,,,District of Columbia Water and Sewer Authority-Dcw Dcwasa Administration
1833,Dixie Electric Membership Corporation,0.8,,Dixie Electric Membership Corporation,
1834,Doney Park Water,0.8,,,Doney Park Water
1835,Dorchester County Water Authority,0.8,,,Dorchester County Water Authority
1836,Douglasvilledouglas County Water & Sewer Authority,0.8,,,Douglasvilledouglas County Water & Sewer Authority
1837,Dreisilker Elec Mtrs,0.8,,,
1838,Duncan Power,0.8,,,
1839,Durant Municipal Electric,0.8,,Durant Municipal Electric,
1840,DVM Utilities,0.8,,,
1841,E W Brown Generating Station,0.8,,,
1842,Eagle River Water & Sanitation District,0.8,,,Eagle River Water & Sanitation District
1843,Eason Electric,0.8,,Eason Electric,
1844,East Alabama Water Sewer,0.8,,,East Alabama Water Sewer
1845,East Casey County Water Dist,0.8,,,East Casey County Water Dist
1846,East Cedar Creek Fresh Water,0.8,,,East Cedar Creek Fresh Water
1847,East Central Okla Elect Co-Op,0.8,,East Central Okla Elect Co-Op,
1848,East Central Water Supply,0.8,,,East Central Water Supply
1849,East Cherry Creek Valley Water,0.8,,,East Cherry Creek Valley Water
1850,East Chicago Water Department,0.8,,,East Chicago Water Department
1851,East Greenacres Irrigation District,0.8,,,East Greenacres Irrigation District
1852,East Milton Water System,0.8,,,East Milton Water System
1853,East Mississippi Electric Power Association,0.8,,East Mississippi Electric Power Association,
1854,East-Central Iowa Rural Electric Cooperative,0.8,,East-Central Iowa Rural Electric Cooperative,
1855,Eastern Iowa Light & Power Co-Op,0.8,,,
1856,Eastern Iowa Light & Power Cooperative,0.8,,,
1857,Eastside Utility District,0.8,,,
1858,Eck Supply Company,0.8,,,
1859,Edgecombe Martin County Electric Membership,0.8,,Edgecombe Martin County Electric Membership,
1860,Edgemont Ranch Metropolitan District,0.8,,,
1861,Edison International,0.8,,,
1862,Edisto Electric Cooperative,0.8,,Edisto Electric Cooperative,
1863,Electric Advisors,0.8,,Electric Advisors,
1864,Electrical Contracting Secrets,0.8,,Electrical Contracting Secrets,
1865,Electrical District #2,0.8,,Electrical District #2,
1866,Electrical District 3,0.8,,Electrical District 3,
1867,Electricities of Nc,0.8,,Electricities of Nc,
1868,Electricity Express,0.8,,Electricity Express,
1869,Elizabethtown Gas Company,0.8,Elizabethtown Gas Company,,
1870,Elk Grove Village Water Department,0.8,,,Elk Grove Village Water Department
1871,Elkhorn Rural Public Power District,0.8,,,
1872,Elmhurst Water Department,0.8,,,Elmhurst Water Department
1873,Elwood Energy,0.8,,,
1874,EMF Electric Co.,0.8,,EMF Electric Co.,
1875,Emi Dighton Power Plant,0.8,,,
1876,Empire District Electric Co.,0.8,,Empire District Electric Co.,
1877,Empire District Electric Company,0.8,,Empire District Electric Company,
1878,Enable Midstream Partners,0.8,,,
1879,Energy Cooperative of America,0.8,,,
1880,Energy Solutions Professionals,0.8,,,
1881,Energy Transfer Partners,0.8,,,
1882,Energy United Water,0.8,,,Energy United Water
1883,Energyunited,0.8,,,
1884,Enstar Natural Gas Co.,0.8,Enstar Natural Gas Co.,,
1885,Entergy Nuclear Generation Company,0.8,,,
1886,Epb Electric Power,0.8,,Epb Electric Power,
1887,Epcor Water,0.8,,,Epcor Water
1888,Estill County Water Office,0.8,,,Estill County Water Office
1889,Etowah Utilities Department,0.8,,,
1890,Exact Meter Reading,0.8,,,
1891,Excelsior Electric Membership,0.8,,Excelsior Electric Membership,
1892,Fairborn Water Department,0.8,,,Fairborn Water Department
1893,Fannin County Electric Co-Operatives,0.8,,Fannin County Electric Co-Operatives,
1894,Far West Water & Sewer,0.8,,,Far West Water & Sewer
1895,Farmers Electric,0.8,,Farmers Electric,
1896,Farmers Electric Co-Op,0.8,,Farmers Electric Co-Op,
1897,Fayette Power Project,0.8,,,
1898,Fayetteville Water Authority,0.8,,,Fayetteville Water Authority
1899,Fem Electric Association,0.8,,Fem Electric Association,
1900,Firgrove Mutual Water Co.,0.8,,,Firgrove Mutual Water Co.
1901,First Energy,0.8,,,
1902,First Utility District Of Hawkins County Tennessee,0.8,,,
1903,Fitchburg Gas & Electric Light,0.8,Fitchburg Gas & Electric Light,Fitchburg Gas & Electric Light,
1904,Flo Watch,0.8,,,
1905,Florida City Gas,0.8,Florida City Gas,,
1906,Florida Gas,0.8,Florida Gas,,
1907,Florida Gas Transmission Company,0.8,Florida Gas Transmission Company,,
1908,Florida Keys Aqueduct Auth,0.8,,,
1909,Florida Power & Light Co.,0.8,,,
1910,Florida Public Utilities,0.8,,,
1911,Folger Gas Blue Ridge,0.8,Folger Gas Blue Ridge,,
1912,Footprint Power Salem Harbor Operations,0.8,,,
1913,Ford's Propane & Gas,0.8,Ford's Propane & Gas,,
1914,Ford's Propane Gas,0.8,Ford's Propane Gas,,
1915,Forest Lake Mutual Water Co.,0.8,,,Forest Lake Mutual Water Co.
1916,Fort Collins Utilities,0.8,,,
1917,Fort Payne Improvement Auth,0.8,,,
1918,Fountain Water District,0.8,,,Fountain Water District
1919,Four Mile Hill Water Association,0.8,,,Four Mile Hill Water Association
1920,Four Way Special Utility Dist,0.8,,,
1921,Franklin County Water Association,0.8,,,Franklin County Water Association
1922,Franklin Rural Electric Co-Op,0.8,,Franklin Rural Electric Co-Op,
1923,Freshwater,0.8,,,Freshwater
1924,Frey Water Systems,0.8,,,Frey Water Systems
1925,Friant Water Authority,0.8,,,Friant Water Authority
1926,Frontier Natural Gas,0.8,Frontier Natural Gas,,
1927,Fuji Electric Of America,0.8,,Fuji Electric Of America,
1928,Gala Gas Co.,0.8,Gala Gas Co.,,
1929,Gallia County Rural Water Association,0.8,,,Gallia County Rural Water Association
1930,Gallup Well Services,0.8,,,
1931,Garland Light & Power Co.,0.8,,,
1932,Gas Co.,0.8,Gas Co.,,
1933,Gas Compressor Consultants,0.8,Gas Compressor Consultants,,
1934,Gas Utility Service Company,0.8,Gas Utility Service Company,,
1935,Gastonia Scurry Water Supply,0.8,Gastonia Scurry Water Supply,,Gastonia Scurry Water Supply
1936,Gateway Energy Services Corporation,0.8,,,
1937,Ge Energy,0.8,,,
1938,GE Energy,0.8,,,
1939,Geer Gas,0.8,Geer Gas,,
1940,Geldbach Petroleum,0.8,,,
1941,Georgia Electric Membership Corporation,0.8,,Georgia Electric Membership Corporation,
1942,Georgia Mountain Gas,0.8,Georgia Mountain Gas,,
1943,Georgia Natural Gas,0.8,Georgia Natural Gas,,
1944,Gerald Gentleman Station,0.8,,,
1945,Gibson Electric Membership Corporation,0.8,,Gibson Electric Membership Corporation,
1946,Gilbert Summit Rural Water,0.8,,,Gilbert Summit Rural Water
1947,Ginn's Water Pump Service,0.8,,,Ginn's Water Pump Service
1948,Gits Manufacturing,0.8,,,
1949,Glencore,0.8,,,
1950,Global Foundation For Democracy & Development,0.8,,,
1951,Gnagey Gas & Oil Co,0.8,Gnagey Gas & Oil Co,,
1952,Goding Electric Company,0.8,,Goding Electric Company,
1953,Goforth Electric,0.8,,Goforth Electric,
1954,Goforth Water Supply,0.8,,,Goforth Water Supply
1955,Golden Heart Utilities,0.8,,,
1956,Golden Hills Community Services District,0.8,,,
1957,Golden State Water Company San Dimas Csa,0.8,,,Golden State Water Company San Dimas Csa
1958,Gorgas Steam Plant,0.8,Gorgas Steam Plant,,
1959,Grandview Rwd,0.8,,,
1960,Grant County Public Utility District,0.8,,,
1961,Grayson Collin Electric Cooperative,0.8,,Grayson Collin Electric Cooperative,
1962,Great Oaks Water Co.,0.8,,,Great Oaks Water Co.
1963,Green Mountain Energy Company,0.8,,,
1964,Green Valley Special Utility District,0.8,,,
1965,Greenbelt Electric Cooperative,0.8,,Greenbelt Electric Cooperative,
1966,Greene's Gas Co,0.8,Greene's Gas Co,,
1967,Greenville Utilities,0.8,,,
1968,Grundy County Rural Electric Cooperative,0.8,,Grundy County Rural Electric Cooperative,
1969,Guadalupe Gas Co.,0.8,Guadalupe Gas Co.,,
1970,Guthrie County Rural Electric,0.8,,Guthrie County Rural Electric,
1971,H W Pirkey Power Plant,0.8,,,
1972,H2O Consulting,0.8,,,
1973,Habersham Electric Membership,0.8,,Habersham Electric Membership,
1974,Haigh Electric,0.8,,Haigh Electric,
1975,Hamilton County Elec Co Op Association,0.8,,,
1976,Hardeman-Fayette Utility District Office,0.8,,,
1977,Hardman Drilling,0.8,,,
1978,Harford Road Hess,0.8,,,
1979,Harpeth Valley Utilities District,0.8,,,
1980,Harris Co Fresh Water,0.8,,,Harris Co Fresh Water
1981,Harrison County REC,0.8,,,
1982,Harrison Rural Electrification Association,0.8,,Harrison Rural Electrification Association,
1983,Hartselle Utilities,0.8,,,
1984,Hastings Utilities All Depts,0.8,,,
1985,Hawkeye Rec,0.8,,,
1986,Hawkins County Gas Utility District,0.8,Hawkins County Gas Utility District,,
1987,Hawthorne Services,0.8,,,
1988,Hayward Water System,0.8,,,Hayward Water System
1989,H-D Electric Co-Op,0.8,,H-D Electric Co-Op,
1990,Heard County Water Authority,0.8,,,Heard County Water Authority
1991,Heartland Rural Electric,0.8,,Heartland Rural Electric,
1992,Heber Light & Power Co.,0.8,,,
1993,Hempstead Water Department,0.8,,,Hempstead Water Department
1994,Henderson County Water District,0.8,,,Henderson County Water District
1995,Henderson Oil Co,0.8,Henderson Oil Co,,
1996,Henderson Water Utility,0.8,,,Henderson Water Utility
1997,Henley Propane,0.8,,,
1998,Hicksville Water Dist,0.8,,,Hicksville Water Dist
1999,High Purity Water,0.8,,,High Purity Water
2000,Highland County Water Co.,0.8,,,Highland County Water Co.
2001,Highland Sewer & Water Authority,0.8,,,Highland Sewer & Water Authority
2002,Highlands Water,0.8,,,Highlands Water
2003,Highline Electric Association,0.8,,Highline Electric Association,
2004,Highridge Water Authority,0.8,,,Highridge Water Authority
2005,Hill County Electric Cooperative,0.8,,Hill County Electric Cooperative,
2006,Hilldale Water District,0.8,,,Hilldale Water District
2007,Hillsboro Water Department,0.8,,,Hillsboro Water Department
2008,Hinman Water,0.8,,,Hinman Water
2009,Hiwassee Utilities Commission,0.8,,,
2010,Hjp Park & Open Space,0.8,,,
2011,Holly Springs Water Supply,0.8,,,Holly Springs Water Supply
2012,Holmes-Wayne Elec Co-Op,0.8,,,
2013,Homestead Gas Co.,0.8,Homestead Gas Co.,,
2014,Hood River Electric Co-Op,0.8,,Hood River Electric Co-Op,
2015,Horn Lake Utilities,0.8,,,
2016,Horsham Water & Sewer Authority,0.8,,,Horsham Water & Sewer Authority
2017,Houlton Water Co.,0.8,,,Houlton Water Co.
2018,Huntington Beach Water Services,0.8,,,Huntington Beach Water Services
2019,Huntsville Utility District,0.8,,,
2020,Hyden Leslie County Water District,0.8,,,Hyden Leslie County Water District
2021,Iberdrola USA,0.8,,,
2022,Idaho County Light & Power,0.8,,,
2023,Idaho Power Co.,0.8,,,
2024,Illinois-American Water Co.,0.8,,,Illinois-American Water Co.
2025,Illuminating Concepts,0.8,,,
2026,Independence Power & Light,0.8,,,
2027,Indian Electric Cooperative,0.8,,Indian Electric Cooperative,
2028,Indian Hills Imp Dist,0.8,,,
2029,Indiana American Water Co.,0.8,,,Indiana American Water Co.
2030,Indiana Michigan Power Co.,0.8,,,
2031,Indiana Municipal Power,0.8,,,
2032,Indianapolis Power & Light Company,0.8,,,
2033,Inland Power & Light,0.8,,,
2034,Inlet Beach Water Company,0.8,,,Inlet Beach Water Company
2035,Ipswich Utility Department,0.8,,,
2036,Iredell Water,0.8,,,Iredell Water
2037,Irvington Gas Co.,0.8,Irvington Gas Co.,,
2038,Itc Midwest,0.8,,,
2039,J P Utility District,0.8,,,
2040,Jackson County Utility,0.8,,,
2041,Jackson County Water,0.8,,,Jackson County Water
2042,Jackson Electric Membership Corporation,0.8,,Jackson Electric Membership Corporation,
2043,Jacksonville Electric Light,0.8,,Jacksonville Electric Light,
2044,Jed Mechanical Contractors,0.8,,,
2045,Jefferson Energy Cooperative,0.8,,,
2046,Jefferson-Cocke County Gas Utility District,0.8,Jefferson-Cocke County Gas Utility District,,
2047,Jemez Mountains Electric Cooperative,0.8,,Jemez Mountains Electric Cooperative,
2048,Jersey Central Power & Light Company,0.8,,,
2049,Jones James Co.,0.8,,,
2050,Jupiter Water Department,0.8,,,Jupiter Water Department
2051,Kal Gas Propane,0.8,Kal Gas Propane,,
2052,Kalamazoo Lake Sewer & Water Authority,0.8,,,Kalamazoo Lake Sewer & Water Authority
2053,Kearns Improvement District,0.8,,,
2054,Keene Export Brake & Electric,0.8,,Keene Export Brake & Electric,
2055,Kennebec Water District,0.8,,,Kennebec Water District
2056,Kennewick Irrigation District,0.8,,,Kennewick Irrigation District
2057,Kentucky Underground Protection,0.8,,,
2058,Kes Equipment & Sales,0.8,,,
2059,Kiawah Island Utility,0.8,,,
2060,Kimzey James Regional Water District,0.8,,,Kimzey James Regional Water District
2061,King Cobra Elec,0.8,,,
2062,King County Water District 90,0.8,,,King County Water District 90
2063,Kingston Water Department,0.8,,,Kingston Water Department
2064,Kirkmont Municipal District,0.8,,,
2065,Koons and Associates,0.8,,,
2066,Krauth Electric Co.,0.8,,Krauth Electric Co.,
2067,La Puente Valley County Water District,0.8,,,La Puente Valley County Water District
2068,Laclede Electric Cooperative,0.8,,Laclede Electric Cooperative,
2069,Laclede Gas Co.,0.8,Laclede Gas Co.,,
2070,Lafayette Parish Water Works District,0.8,,,Lafayette Parish Water Works District
2071,Lafayette Utilities System,0.8,,,
2072,Lake Almanor Propane,0.8,,,
2073,Lake Arrowhead Community,0.8,,,
2074,Lake Country Power,0.8,,,
2075,Lake County Water Authority,0.8,,,Lake County Water Authority
2076,Lake Fork Water Supply,0.8,,,Lake Fork Water Supply
2077,Lake Philgas,0.8,Lake Philgas,,
2078,Lake Region Electric Association,0.8,,Lake Region Electric Association,
2079,Lake Village Water Association,0.8,,,Lake Village Water Association
2080,Lakeside Water District,0.8,,,Lakeside Water District
2081,Lamar Electric Cooperative,0.8,,Lamar Electric Cooperative,
2082,Lancaster County Water & Sewer District,0.8,,,Lancaster County Water & Sewer District
2083,Las Virgenes Municipal Water District,0.8,,,Las Virgenes Municipal Water District
2084,Lassen Municipal Utility District,0.8,,,
2085,Laurens Electric Co-Operative,0.8,,Laurens Electric Co-Operative,
2086,Lavalette Water Office,0.8,,,Lavalette Water Office
2087,Lawrence Water Department,0.8,,,Lawrence Water Department
2088,Lawrenceburg Gas Company,0.8,Lawrenceburg Gas Company,,
2089,Lawrenceburg Utility Systems,0.8,,,
2090,Lc MUA,0.8,,,
2091,Le Moyne Water System,0.8,,,Le Moyne Water System
2092,Lee Lake Water District,0.8,,,Lee Lake Water District
2093,Lehighton Borough Water Auth,0.8,,,Lehighton Borough Water Auth
2094,Lenox City Municipal Utilities,0.8,,,
2095,Leominster Collector,0.8,,,
2096,Leon Propane,0.8,,,
2097,Lewisburg Bellevue Water System,0.8,,,Lewisburg Bellevue Water System
2098,Lewisburg Electric System,0.8,,Lewisburg Electric System,
2099,Lexington County Joint Municipal,0.8,,,
2100,Lexington Utilities,0.8,,,
2101,Lhv Power Corporation,0.8,,,
2102,Liberty Lake Sewer and Water District,0.8,,,Liberty Lake Sewer and Water District
2103,Licking Valley Rural Electric,0.8,,Licking Valley Rural Electric,
2104,Light & Power Commission,0.8,,,
2105,Lincoln Avenue Water Co.,0.8,,,Lincoln Avenue Water Co.
2106,Linda County Water Dist,0.8,,,Linda County Water Dist
2107,Linde Gas North America,0.8,Linde Gas North America,,
2108,Lipa,0.8,,,
2109,Little Bear Water Company,0.8,,,Little Bear Water Company
2110,Little Ocmulgee Emc & Service Corporation,0.8,,,
2111,Lobb Law,0.8,,,
2112,Lockwood Water & Sewer District,0.8,,,Lockwood Water & Sewer District
2113,Logn County Rural Water Dist,0.8,,,Logn County Rural Water Dist
2114,Lompico Water District,0.8,,,Lompico Water District
2115,Lone Star Gas Company,0.8,Lone Star Gas Company,,
2116,Lone Star Instrumentation & Electric Corporation,0.8,,Lone Star Instrumentation & Electric Corporation,
2117,Long Island Power Authority,0.8,,,
2118,Longview Water Department,0.8,,,Longview Water Department
2119,Longview Water Utilities,0.8,,,Longview Water Utilities
2120,Lorain Water Department,0.8,,,Lorain Water Department
2121,Los Angeles Department of Water & Power,0.8,,,Los Angeles Department of Water & Power
2122,Los Angeles Water Department,0.8,,,Los Angeles Water Department
2123,Loudon Utilities,0.8,,,
2124,Louisiana Water Co.,0.8,,,Louisiana Water Co.
2125,Lower Tule River Irrigation Dist,0.8,,,Lower Tule River Irrigation Dist
2126,Lower Valley Energy,0.8,,,
2127,Lumbee River Emc,0.8,,,
2128,Lumberton Municipal Utility District,0.8,,,
2129,Lundy's Propane Gas Co.,0.8,Lundy's Propane Gas Co.,,
2130,Lynches River Electric Co-Op,0.8,,Lynches River Electric Co-Op,
2131,Lyon-Lincoln Electric Cooperative,0.8,,Lyon-Lincoln Electric Cooperative,
2132,Lyons Gas Co.,0.8,Lyons Gas Co.,,
2133,Mac Products,0.8,,,
2134,Maclean Power York,0.8,,,
2135,"Madison Suburban Utility District, Davidson Co Of, Office",0.8,,,
2136,Magelan Terminals Holdings,0.8,,,
2137,Magic Valley Electric Cooperative,0.8,,Magic Valley Electric Cooperative,
2138,Magna Water Company An Improvement District,0.8,,,Magna Water Company An Improvement District
2139,Mallard Oil & Gas Co.,0.8,Mallard Oil & Gas Co.,,
2140,Mannington Main Street,0.8,,,
2141,Manville Water Supply,0.8,,,Manville Water Supply
2142,Marabou Midstream,0.8,,,
2143,Marana Domestic Water Improvement District,0.8,,,Marana Domestic Water Improvement District
2144,Marcie Electric,0.8,,Marcie Electric,
2145,Mariana Ranchos County Water District,0.8,,,Mariana Ranchos County Water District
2146,Marias River Electric Co-Op,0.8,,Marias River Electric Co-Op,
2147,Marion Utilities,0.8,,,
2148,Mars Electrical Contracting,0.8,,Mars Electrical Contracting,
2149,Marshall County Gas District,0.8,Marshall County Gas District,,
2150,Marshall County Water,0.8,,,Marshall County Water
2151,Martin Gas,0.8,Martin Gas,,
2152,Maryland American Water Co.,0.8,,,Maryland American Water Co.
2153,Massapequa Water District,0.8,,,Massapequa Water District
2154,Matlock Elec Co.,0.8,,,
2155,Maumelle Water Management,0.8,,,Maumelle Water Management
2156,Mayfield Electric & Water System,0.8,,Mayfield Electric & Water System,Mayfield Electric & Water System
2157,Mc Cone Electric Co-op,0.8,,Mc Cone Electric Co-op,
2158,McLeod Co-Op Power,0.8,,,
2159,McNaughton-McKay Electric Company,0.8,,McNaughton-McKay Electric Company,
2160,Mcnaughton-Mckay Electric Company Of Carolinas,0.8,,Mcnaughton-Mckay Electric Company Of Carolinas,
2161,McPhee Electric & Telecommunications,0.8,,McPhee Electric & Telecommunications,
2162,McQueen Propane,0.8,,,
2163,Meansville-Riley Road Water Company,0.8,,,Meansville-Riley Road Water Company
2164,Mecklenburg Electric Cooperative,0.8,,Mecklenburg Electric Cooperative,
2165,Medford City Water Commission,0.8,,,Medford City Water Commission
2166,Medina Electric Co Op,0.8,,Medina Electric Co Op,
2167,Medler Electric Co.,0.8,,Medler Electric Co.,
2168,Meiners Oaks County Water Dist,0.8,,,Meiners Oaks County Water Dist
2169,Melbourne-Tillman Water Control,0.8,,,Melbourne-Tillman Water Control
2170,Memorial Villages Water Authority,0.8,,,Memorial Villages Water Authority
2171,Menasha City Utilities,0.8,,,
2172,Merrimack Station,0.8,,,
2173,Metropolitan Water,0.8,,,Metropolitan Water
2174,Mexico Water District,0.8,,,Mexico Water District
2175,Michigan Valley Irrigation,0.8,,,Michigan Valley Irrigation
2176,Middle Ga Emc,0.8,,,
2177,Midstate Electric Cooperative,0.8,,Midstate Electric Cooperative,
2178,Midway Water System,0.8,,,Midway Water System
2179,Midwest Bottle Gas Co.,0.8,Midwest Bottle Gas Co.,,
2180,Midwest Natural Gas,0.8,Midwest Natural Gas,,
2181,Milan Supply Co.,0.8,,,
2182,Milligan Water System,0.8,,,Milligan Water System
2183,Mire Branch Water Corporation,0.8,,,Mire Branch Water Corporation
2184,Mitchell Electric Membership,0.8,,Mitchell Electric Membership,
2185,Mjm Electric Co-Op,0.8,,Mjm Electric Co-Op,
2186,Mobile Area Water & Sewer System,0.8,,,Mobile Area Water & Sewer System
2187,Mon Power,0.8,,,
2188,Monroe County Electric Power,0.8,,Monroe County Electric Power,
2189,Monroe Municipal Utilities Authority,0.8,,,
2190,Montevallo Water Board,0.8,,,Montevallo Water Board
2191,Montezuma Water Co.,0.8,,,Montezuma Water Co.
2192,Morrisville Water & Light Department,0.8,,,Morrisville Water & Light Department
2193,Moulton Niguel Water,0.8,,,Moulton Niguel Water
